Industry,Group
Industry,Industry Group
Semiconductors,Semiconductor
Consumer Electronics,Electronics (Consumer & Office)
Internet Content & Information,Computer Services
Software - Infrastructure,Software (System & Application)
Internet Retail,Retail (General)
Auto Manufacturers,Auto Parts
Semiconductors and Related Devices,Semiconductor
Discount Stores,Retail (Grocery and Food)
Banks - Diversified,Banks (Regional)
Financial - Credit Services,Healthcare Support Services
Prepackaged Software,Electronics (Consumer & Office)
Oil & Gas Integrated,Oil/Gas (Integrated)
Drug Manufacturers - General,Drugs (Pharmaceutical)
Home Improvement Retail,Utility (Water)
Household & Personal Products,Household Products
Communication Equipment,Telecom. Equipment
Beverages - Non-Alcoholic,Beverage (Alcoholic)
Specialty Industrial Machinery,Industry Group
Medical - Healthcare Plans,Healthcare Support Services
Pharmaceutical Preparations,Drugs (Pharmaceutical)
Information Technology Services,Computer Services
Farm & Heavy Construction Machinery,Chemical (Diversified)
Credit Services,Insurance (Life)
Commercial Banks,Bank (Money Center)
Software - Application,Software (System & Application)
Aerospace & Defense,Aerospace/Defense
Restaurants,Food Processing
Electromedical and Electrotherapeutic Apparatus,Industry Group
Finance services,Brokerage & Investment Banking
Entertainment,Entertainment
Telecom Services,Telecom. Services
"Electronic and Other Electrical Equipment and Components, except Computer Equipment",Electronics (Consumer & Office)
"Biological Products, Except Diagnostic Substances",Industry Group
Other Industrial Metals & Mining,Industry Group
"Computer Programming, Data Processing, And Other Computer Related Services",Computer Services
Metal Mining,Metals & Mining
Computer Processing and Data Preparation and Processing Services,Industry Group
Eating Places,Food Processing
Tobacco,Tobacco
Gold,Industry Group
Footwear & Accessories,Trucking
Petroleum Refining,Oil/Gas Distribution
Conglomerates,Healthcare Support Services
"Specialty Cleaning, Polishing, and Sanitation Preparations",Industry Group
Utilities - Regulated Electric,Coal & Related Energy
"Electronic Components, not elsewhere classified",Utility (Water)
Telecommunications Services,Telecom. Services
"Perfumes, Cosmetics, and Other Toilet Preparations",Food Processing
Insurance - Property & Casualty,Insurance (General)
"Oil and Gas Field Services, not elsewhere classified",Industry Group
Beverages - Wineries & Distilleries,Utility (Water)
Beverages - Brewers,Beverage (Alcoholic)
"Fire, Marine, and Casualty Insurance",Insurance (General)
Motor Vehicles and Passenger Car Bodies,Chemical (Diversified)
Catalog and Mail-Order Houses,Drugs (Biotechnology)
Food Confectioners,Food Processing
Paper Mills,Paper/Forest Products
Radio and Television Broadcasting and Communications Equipment,Industry Group
Bottled and Canned Soft Drinks and Carbonated Waters,Beverage (Soft)
Banks - Regional,Banks (Regional)
Computer And Office Equipment,Utility (Water)
Guided Missiles And Space Vehicles And Parts,Industry Group
Silver,Semiconductor
Grain Mill Products,Industry Group
Water Supply,Utility (Water)
Agricultural Inputs,Industry Group
"Cement, Hydraulic",Construction Supplies
Gold And Silver Ores,Industry Group
"Airports, Flying Fields, and Airport Terminal Services",Industry Group
Steel,Steel
Oil & Gas Exploration & Production,Oil/Gas (Production and Exploration)
Natural Gas Transmission,Oil/Gas Distribution
Utilities - Independent Power Producers,Coal & Related Energy
"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",Retail (Distributors)
Aluminum,Precious Metals
Capital Markets,Bank (Money Center)
Building Materials,Building Materials
Oil & Gas Midstream,Oil/Gas Distribution
Real Estate Services,Real Estate (Operations & Services)
Utilities - Regulated Gas,Industry Group
Farm Products,Food Processing
"Mining and Quarrying Of Nonmetallic Minerals, except Fuels",Metals & Mining
Real Estate - Development,Real Estate (Development)
Natural Gas Distribution,Oil/Gas (Production and Exploration)
Department Stores,Retail (Grocery and Food)
"Security and Commodity Brokers, Dealers, Exchanges, and Services",Utility (General)
Packaged Foods,Food Processing
"Land Subdividers and Developers, Except Cemeteries",Industry Group
Infrastructure Operations,Investments & Asset Management
Drug Manufacturers - Specialty & Generic,Industry Group
Agricultural Chemicals,Chemical (Diversified)
Paper & Paper Products,Paper/Forest Products
Engineering & Construction,Engineering/Construction
Chemicals,Chemical (Diversified)
"Furnishings, Fixtures & Appliances",Investments & Asset Management
Building Products & Equipment,Construction Supplies
Radiotelephone Communications,Broadcasting
Insurance - Diversified,Insurance (General)
Healthcare Plans,Industry Group
Cigarettes,Bank (Money Center)
Aircraft Engines and Engine Parts,Air Transport
Medical Devices,Computers/Peripherals
Diagnostics & Research,Industry Group
Semiconductor Equipment & Materials,Software (System & Application)
"Special Industry Machinery, not elsewhere classified",Industry Group
Electric Services,Utility (Water)
Electronic Connectors,Industry Group
Apparel Retail,Healthcare Support Services
Transportation Services,Air Transport
Asset Management,Investments & Asset Management
Computer Communications Equipment,Green & Renewable Energy
Optical Instruments and Lenses,Software (System & Application)
Credit Reporting Services,Business & Consumer Services
Surgical and Medical Instruments and Apparatus,Industry Group
Railroads,Trucking
Real Estate Investment Trusts,R.E.I.T.
Lumber and Other Building Materials Dealers,Construction Supplies
Farm Machinery and Equipment,Farming/Agriculture
REIT - Industrial,Industry Group
Investment Advice,Brokerage & Investment Banking
General Medical and Surgical Hospitals,Industry Group
Life Insurance,Insurance (Life)
Copper,Industry Group
Biotechnology,Drugs (Biotechnology)
Miscellaneous Fabricated Metal Products,Utility (Water)
Medical Distribution,Auto Parts
Electric and Other Services Combined,Engineering/Construction
Electronic Computers,Computer Services
"Insurance Agents, Brokers, and Service",Insurance (General)
Refuse Systems,Environmental & Waste Services
Auto and Home Supply Stores,Utility (Water)
"Paints, Varnishes, Lacquers, Enamels, and Allied Products",Industry Group
Hotels and Motels,Hotel/Gaming
Integrated Freight & Logistics,Investments & Asset Management
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",Broadcasting
"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",Industry Group
Specialty Chemicals,Chemical (Diversified)
Financial Data & Stock Exchanges,Industry Group
Personal Services,Household Products
Hospital and Medical Service Plans,Insurance (General)
Travel Services,Air Transport
Confectioners,Food Processing
"Hotels, Rooming Houses, Camps, and Other Lodging Places",Industry Group
Electronic Components,Electronics (Consumer & Office)
Engines And Turbines,Industry Group
"Drugs, Drug Proprietaries, and Druggists' Sundries",Industry Group
Electrical Work,Industry Group
"Railroads, Line-Haul Operating",Industry Group
Electronic Gaming & Multimedia,Software (Entertainment)
Cable and Other Pay Television Services,Cable TV
Crude Petroleum and Natural Gas,Oil/Gas (Production and Exploration)
Natural Gas Transmission and Distribution,Oil/Gas (Production and Exploration)
Utilities - Diversified,Chemical (Diversified)
In Vitro and In Vivo Diagnostic Substances,Drugs (Pharmaceutical)
Mortgage Bankers and Loan Correspondents,Environmental & Waste Services
Computer Hardware,Computers/Peripherals
Oil & Gas Refining & Marketing,Oil/Gas (Production and Exploration)
Automotive Dealers and Gasoline Service Stations,Industry Group
REIT - Retail,Industry Group
Miscellaneous Equipment Rental And Leasing,Bank (Money Center)
Operative Builders,Engineering/Construction
Real Estate Agents and Managers,R.E.I.T.
Wholesale Trade-Durable Goods,Retail (General)
Resorts & Casinos,Industry Group
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,Steel
"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products",Machinery
Electrical Industrial Apparatus,Industry Group
Grocery Stores,Retail (Grocery and Food)
Airlines,Industry Group
"Ordnance And Accessories, Except Vehicles And Guided Missiles",Industry Group
Insurance - Life,Insurance (Life)
Motor Vehicles And Motor Vehicle Parts And Supplies,Industry Group
Sugar And Confectionery Products,Food Processing
Railroad Equipment,Telecom. Equipment
Food Distribution,Food Processing
Instruments for Measuring and Testing of Electricity and Electrical Signals,Insurance (Life)
Personal Credit Institutions,Bank (Money Center)
"Business Services, not elsewhere classified",Utility (Water)
"Construction, Mining, And Materials Handling",Broadcasting
Construction Special Trade Contractors,Engineering/Construction
Residential Construction,Engineering/Construction
"Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations",Construction Supplies
Consulting Services,Air Transport
Amusement and Recreation Services,Utility (Water)
"Trucking, except Local",Industry Group
Laboratory Analytical Instruments,Utility (General)
Services To Dwellings And Other Buildings,Homebuilding
Telephone and Telegraph Apparatus,Real Estate (Development)
"Security Brokers, Dealers, and Flotation Companies",Industry Group
Solar,Tobacco
Other Precious Metals & Mining,Industry Group
"Retail Stores, Not Elsewhere Classified",Retail (Automotive)
Motors and Generators,Coal & Related Energy
Variety Stores,Retail (Grocery and Food)
Oil & Gas Equipment & Services,Electronics (General)
Computer Storage Devices,Computers/Peripherals
Electric Lighting And Wiring Equipment,Industry Group
Printed Circuit Boards,Electronics (Consumer & Office)
Leather and Leather Products,Transportation
Oil Royalty Traders,Utility (Water)
"Fabricated Rubber Products, Not Elsewhere Classified",Utility (Water)
Medical Laboratories,Metals & Mining
Meat Packing Plants,Construction Supplies
Packaging & Containers,Packaging & Container
"Measuring and Controlling Devices, not elsewhere classified",Industry Group
Advertising Agencies,Advertising
Commercial Physical and Biological Research,Investments & Asset Management
Motor Vehicle Supplies and New Parts,Industry Group
Miscellaneous Food Preparations And Kindred Products,Industry Group
"Communications Services, Not Elsewhere Classified",Utility (Water)
Paperboard Containers And Boxes,Packaging & Container
Mineral Royalty Traders,Industry Group
X-Ray Apparatus and Tubes and Related Irradiation Apparatus,Industry Group
"Engineering, Accounting, Research, Management, and Related Services",Engineering/Construction
Specialty Retail,Industry Group
Medical Instruments & Supplies,Computers/Peripherals
Industrial Inorganic Chemicals,Chemical (Diversified)
"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",Industry Group
Engineering Services,Engineering/Construction
"Hardware, And Plumbing And Heating Equipment",Air Transport
Aircraft,Air Transport
"Computer Peripheral Equipment, not elsewhere classified",Utility (Water)
Metalworking Machinery And Equipment,Utility (Water)
Prefabricated Wood Buildings and Components,Construction Supplies
"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",Industry Group
Hospitals,Healthcare Support Services
REIT - Mortgage,Industry Group
Dental Equipment and Supplies,Coal & Related Energy
Computer Integrated Systems Design,Computer Services
Miscellaneous Metal Ores,Industry Group
Patent Owners and Lessors,Industry Group
Cogeneration Services and Small Power Producers,Industry Group
"Telephone Communications, Except Radiotelephone",Industry Group
Motor Vehicle Parts and Accessories,Auto Parts
Miscellaneous Durable Goods,Utility (Water)
Local and Suburban Transit and Interurban Highway Passenger Transportation,Environmental & Waste Services
"Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties",Industry Group
Apparel and Other Finished Products Made From Fabrics and Similar Materials,Retail (Automotive)
Educational Services,Industry Group
"Miscellaneous Health And Allied Services, Not Elsewhere Classified",Utility (Water)
"General Industrial Machinery and Equipment, Not Elsewhere",Telecom. Equipment
"Miscellaneous Electrical Machinery, Equipment, and Supplies",Utility (Water)
"Concrete, Gypsum, And Plaster Products",Building Materials
Dolls and Stuffed Toys,Beverage (Soft)
Ball and Roller Bearings,Industry Group
Auto & Truck Dealerships,Auto & Truck
Auto Parts,Auto Parts
"Air Transportation, Nonscheduled",Air Transport
REIT - Diversified,Industry Group
Financial Conglomerates,Banks (Regional)
Family Clothing Stores,Retail (Automotive)
Rental & Leasing Services,Air Transport
Industrial Organic Chemicals,Chemical (Diversified)
Rubber and Plastics Footwear,Publishing & Newspapers
Bituminous Coal And Lignite Mining,Coal & Related Energy
Totalizing Fluid Meters and Counting Devices,Industry Group
Recreational Vehicles,Auto & Truck
Women's Clothing Stores,Tobacco
REIT - Specialty,Industry Group
"Motorcycles, Bicycles, and Parts",Industry Group
Water Transportation,Transportation
Employment Agencies,Oil/Gas (Integrated)
Real Estate - Diversified,Auto Parts
Bakery Products,Household Products
Malt Beverages,Beverage (Soft)
Advertising,Advertising
Miscellaneous Amusement And Recreation,Construction Supplies
Medical Care Facilities,Office Equipment & Services
Insurance Brokers,Insurance (General)
Computer Programming Services,Computer Services
Motion Picture Theaters,Transportation
Groceries And Related Products,Industry Group
Food Stores,Retail (Grocery and Food)
Public Warehousing And Storage,Trucking
REIT - Hotel & Motel,Industry Group
"Automotive Repair, Services, and Parking",Retail (Automotive)
Lodging,Transportation
"Building Materials, Hardware, Garden Supply, and Mobile Home Dealers",Electronics (General)
Utilities - Regulated Water,Industry Group
Electric Housewares and Fans,Electronics (General)
REIT - Healthcare Facilities,Industry Group
Waste Management,Environmental & Waste Services
Specialty Business Services,Industry Group
Industrial Distribution,Air Transport
Ophthalmic Goods,Industry Group
Scientific & Technical Instruments,Real Estate (Development)
Electrical Equipment & Parts,Industry Group
Trucking,Trucking
Regulated Electric,Industry Group
Utilities - Renewable,Advertising
REIT - Residential,Homebuilding
Luxury Goods,Household Products
Apparel Manufacturing,Rubber& Tires
Television Broadcasting Stations,Cable TV
Gambling,Industry Group
Leisure,Food Processing
REIT - Office,Industry Group
Tools & Accessories,Chemical (Diversified)
Education & Training Services,Education
Pharmaceutical Retailers,Insurance (Life)
Oil & Gas Drilling,Oil/Gas (Production and Exploration)
"Functions Related to Depository Banking, Not Elsewhere Classified",Industry Group
Staffing & Employment Services,Office Equipment & Services
Marine Shipping,Trucking
Utilities-Regulated Electric,Coal & Related Energy
Health Information Services,Telecom. Services
"Air Transportation, Scheduled",Industry Group
Lumber & Wood Production,Paper/Forest Products
Insurance - Reinsurance,Insurance (Life)
Other,Transportation
Metal Fabrication,Construction Supplies
Electronics & Computer Distribution,Electronics (Consumer & Office)
"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",Brokerage & Investment Banking
Textile Manufacturing,Engineering/Construction
"Communications Equipment, not elsewhere classified",Utility (Water)
-,Transportation
Nonstore Retailers,Industry Group
"Investors, not elsewhere classified",Shipbuilding & Marine
Publishing,Computer Services
Shell Companies,Chemical (Diversified)
Pollution & Treatment Controls,Utility (Water)
Uranium-Radium-Vanadium Ores,Precious Metals
Gold Ores,Metals & Mining
Uranium,Drugs (Biotechnology)
Industrial Materials,Telecom. Equipment
Storage Batteries,Auto & Truck
Copper Ores,Metals & Mining
"Miscellaneous Metal Ores, Not Elsewhere Classified",Utility (Water)
Investment Offices,Investments & Asset Management
Metal Mining Services,Metals & Mining
Security & Protection Services,Household Products
Automatic Controls for Regulating Residential and Commercial Environments and Appliances,Air Transport
Non-operating Establishments,Real Estate (General/Diversified)
Medicinal Chemicals and Botanical Products,Industry Group
Food and Kindred Products,Utility (Water)
Sanitary Services,Industry Group
"Groceries and Related Products, not elsewhere classified",Utility (Water)
Broadcasting,Broadcasting
Insurance - Specialty,Industry Group
Airports & Air Services,Tobacco
Thermal Coal,Coal & Related Energy
Coking Coal,Coal & Related Energy
Other Precious Metals,Precious Metals
Mortgage Finance,Real Estate (Development)
Business Equipment & Supplies,Office Equipment & Services
Agricultural Farm Products,Food Processing
Oil & Gas,Oil/Gas (Production and Exploration)
Information Technology,Computer Services
Software - Services,Software (System & Application)
Asset Management - Income,Industry Group
Medical - Specialties,Drugs (Pharmaceutical)
Household Appliances,Food Processing
Miscellaneous General Merchandise Stores,Retail (General)
"Hobby, Toy, and Game Shops",Industry Group
"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment",Metals & Mining
Automobiles & Auto Parts,Auto Parts
"Jewelry, Precious Metal",Precious Metals
Insurance Carriers,Utility (General)
Tobacco Products,Industry Group
"Abrasive, Asbestos, And Miscellaneous Nonmetallic Mineral Products",Utility (Water)
Industrial and Commercial Machinery and Computer Equipment,Education
Miscellaneous Transportation Equipment,Utility (Water)
"Books: Publishing, or Publishing and Printing",Insurance (General)
Medical - Pharmaceuticals,Utility (Water)
Financial - Diversified,Investments & Asset Management
Miscellaneous Repair Services,Industry Group
Agriculture Production Livestock and Animal Specialties,Industry Group
"Short-Term Business Credit Institutions, Except Agricultural",Bank (Money Center)
Miscellaneous Shopping Goods Stores,Entertainment
Building Construction General Contractors and Operative Builders,Engineering/Construction
Real Estate,Industry Group
"Industrial Trucks, Tractors, Trailers, and Stackers",Engineering/Construction
"Hardware, Equipment & Parts",Industry Group
"Machinery, Equipment, And Supplies",Utility (Water)
Motion Picture and Video Tape Production,Industry Group
"Special Industry Machinery, Except Metalworking",Industry Group
"Electronic Coils, Transformers, and Other Inductors",Building Materials
"Industrial Organic Chemicals, not elsewhere classified",Industry Group
Investment - Banking & Investment Services,Bank (Money Center)
Silver Ores,Industry Group
Lumber And Other Construction Materials,Retail (Building Supply)
"Jewelry, Watches, Precious Stones, and Precious Metals",Utility (General)
Personal Products & Services,Household Products
"Ferroalloy Ores, except Vanadium",Industry Group
